"Insert (nedtrie)","Find 0-N (nedtrie)","Find N (nedtrie)","Remove (nedtrie)","Iterate (nedtrie)","Insert (rbtree)","Find 0-N (rbtree)","Find N (rbtree)","Remove (rbtree)","Iterate (rbtree)","Insert (hash)","Find 0-N (hash)","Find N (hash)","Remove (hash)","Iterate (hash)","Insert (trie_map<size_t>)","Find 0-N (trie_map<size_t>)","Find N (trie_map<size_t>)","Remove (trie_map<size_t>)","Iterate (trie_map<size_t>)","Insert (map<size_t>)","Find 0-N (map<size_t>)","Find N (map<size_t>)","Remove (map<size_t>)","Iterate (map<size_t>)","Insert (unordered_map<size_t>)","Find 0-N (unordered_map<size_t>)","Find N (unordered_map<size_t>)","Remove (unordered_map<size_t>)","Iterate (unordered_map<size_t>)"
11792651.020060,10281098.635215,11707355.365104,12982328.020967,15680023.827284,10130847.046959,9999633.718910,11245927.588179,11513653.713942,13988258.162370,11757762.811101,8385337.565218,8953869.246559,14032444.826861,18115653.481541,6782686.231313,10244129.925227,11263563.588883,8167171.901089,18164923.907010,5932426.106735,11882130.735110,10817591.032362,7883997.995311,13005946.465429,8506083.960818,9751384.059322,11024296.632992,8087110.823667,14983059.959931
11750254.854206,10256509.060488,11647633.287660,12990308.123810,15709080.319198,10078525.240242,9979025.993466,11221036.728573,11483714.742759,13965205.638687,11780456.702878,8389127.441043,8916531.356799,14083806.251754,18141198.308584,6743542.913162,10220472.454369,11222680.712769,8140565.513768,18163439.519413,5782875.998914,11833498.629400,10802376.199233,7810405.075942,12965667.823382,8505677.752528,9742144.731660,11029052.536497,8111159.980026,14993252.309441
11711842.416396,10237413.549854,11599478.803727,13020112.650113,15739188.476771,10049918.563439,9956644.278883,11205875.434650,11484122.280494,13917357.458520,11801375.483033,8387196.549112,8863261.659546,14121718.405087,18161396.788029,6712867.599487,10196847.548588,11186179.012291,8125405.745376,18162950.682087,5788669.025136,11800088.478061,10786536.938284,7768877.276261,12899480.400531,8509612.965294,9738759.257815,11020150.995803,8135957.864276,15002266.967964
11672376.432121,10217497.944894,11545997.342347,13043141.995505,15775986.116956,10030365.351194,9943037.602879,11202656.292089,11461018.688814,13890042.758734,11812953.157561,8370812.915240,8802762.193473,14114551.647423,18160742.617287,6673595.292310,10159649.582487,11148631.089628,8104639.708763,18161871.459939,5778270.141155,11769005.027469,10754523.136322,7738346.922851,12848047.876074,8502133.840315,9722594.617245,11004514.588448,8165470.747484,15011218.439068
11631847.632952,10198629.835344,11496144.636992,13067221.455375,15806419.401002,9993012.130100,9919695.295943,11191362.463096,11461393.120976,13854735.920347,11825539.356883,8348305.228007,8755789.442935,14104541.342992,18161317.015569,6640098.017700,10139176.946934,11109139.569711,8079819.622316,18162657.021594,5768744.804649,11748985.494695,10732087.694199,7724308.357829,12800120.105145,8493985.019391,9723387.361384,11061363.198033,8204527.202488,14971977.942902
11584740.860580,10179094.665867,11444689.184119,13052564.999695,15810706.481498,9971121.440011,9894852.497878,11183886.533141,11475817.059585,13804855.669434,11833866.304318,8328168.836717,8713780.340594,14092883.925392,18160972.339692,6608139.252739,10106068.466564,11062537.525659,8064993.004853,18161478.612265,5759769.435266,11720127.972703,10710157.921805,7716484.108361,12759705.680140,8526713.365416,9733724.262036,11130669.945413,8227103.530000,14963183.969432
11546493.265991,10155972.152636,11398214.487533,13070539.333471,15815386.064074,9939494.938151,9884662.324477,11177203.464901,11472847.579964,13791795.258549,11839643.167549,8309805.484428,8664625.981515,14082453.892663,18160998.546858,6576672.956497,10078756.123592,11026359.453911,8055733.108524,18160015.830453,5765760.768069,11693667.382930,10702861.117041,7695917.916600,12744029.737106,8564884.114835,9748298.242681,11205475.182552,8265252.884808,14958912.651629
11488183.885123,10125894.099937,11345661.211412,13042322.235121,15818928.886512,9907915.900232,9871034.817498,11159657.212477,11455975.441960,13825899.726809,11844263.844125,8298507.495644,8622696.447823,14058234.094001,18160908.656093,6540300.610124,10053007.804587,10978553.772102,8035771.124657,18159153.724256,5756452.087739,11664801.291267,10693717.620754,7675008.590395,12779621.591505,8602960.664964,9780508.014988,11272240.574819,8300515.806309,14952772.351263
11432584.064702,10107422.606976,11299774.338444,13002114.604435,15827468.065999,9880973.747890,9856095.893951,11134030.305067,11472083.717324,13843193.781865,11846405.189710,8282291.287278,8560154.956119,14046430.321846,18159528.453779,6502591.485604,10026136.385947,10927276.297779,8010765.740288,18160551.566625,5750244.360936,11634282.226951,10682797.655104,7649788.020016,12793674.529417,8638792.083204,9803011.319653,11338306.293992,8320109.429075,14944539.579506
11381390.501266,10090439.737893,11253709.016740,12963303.351032,15831398.405930,9840118.906352,9843274.116045,11110820.990594,11465877.734282,13880949.614994,11846453.111290,8216449.979861,8502249.698463,14023890.160365,18142495.291390,6467518.056115,9999753.326007,10883229.025342,7997103.807087,18157867.478352,5749016.648345,11627693.986188,10662623.501917,7660279.777361,12834468.013601,8677084.660846,9845964.315461,11387294.052324,8329966.756352,14924177.543184
11330219.440542,10073360.582998,11203046.640453,12931208.121479,15837050.900830,9802352.565715,9834497.522929,11103931.439935,11450539.415653,13941494.294999,11837563.199528,8176165.548215,8435164.149697,13984094.608891,18114088.631767,6429044.699260,9986065.217077,10839742.658758,7977969.540420,18157592.913727,5869250.517668,11621210.051766,10659519.814144,7678562.554461,12904116.296569,8713378.029270,9865512.128450,11434874.351890,8327609.677533,14889663.522962
